id;start_date;end_date;language
1;2020-09-09T06:30:11;2020-09-09T04:20:26;SPANISH
2;2020-09-08T11:20:22;2020-09-09T06:24:47;SPANISH
3;2020-09-09T02:15:41;2020-09-08T12:49:50;FRENCH
4;2020-09-08T17:33:12;2020-09-09T05:04:38;FRENCH
5;2020-09-09T03:03:30;2020-09-09T07:50:29;FRENCH
6;2020-09-08T20:55:51;2020-09-09T09:04:05;FRENCH
7;2020-09-08T22:41:11;2020-09-08T16:32:02;FRENCH
8;2020-09-08T21:37:24;2020-09-09T07:53:32;SPANISH
9;2020-09-08T20:18:33;2020-09-08T16:59:56;SPANISH
10;2020-09-09T04:30:37;2020-09-08T15:05:07;SPANISH
